Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120080111155210 Калининградская Область 9 773770 31
100120080510099329 Ленинградская Область 9 773770 31
100120080111176346 Нижегородская Область 9 773770 31
100120090512291126 Брянская Область 9 773770 31
100120070111210481 Тверская Область 9 77377- 31
100120080512196521 Брянская Область 9 777730 31
100120080111220546 Нижегородская Область 9 773770 31
100120080510075303 Архангельская Область 9 777073 31
100120090111351854 Самарская Область 9 7777-3 31
100120080511741967 Тверская Область 9 73767- 30
100120080111466442 Самарская Область 9 753770 29
100120080511772654 Архангельская Область 9 75377- 29
100120080111214897 Архангельская Область 9 753770 29
100120080111368051 Самарская Область 9 757703 29
100120080510078050 Тверская Область 9 777700 28Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120090111408367 Самарская Область 9 777700 28
100120080511722818 Оренбургская Область 9 777700 28
100120080511705145 Ленинградская Область 9 7777-- 28
100120080111186734 Архангельская Область 9 77770- 28
100120080111131236 Липецкая Область 9 073773 27
100120080511746243 Тверская Область 9 773370 27
100120080512123367 Ленинградская Область 9 7767-0 27
100120080512082800 Брянская Область 9 763073 26
100120080111708500 Карелия Республика 9 773702 26
100120080511696594 Новгородская Область 9 763730 26
100120080510120011 Самарская Область 9 773170 25
100120080510222522 Ленинградская Область 9 753730 25
100120080111819286 Архангельская Область 9 773070 24
100120070111784684 Калининградская Область 9 773070 24
100120090111743645 Коми Республика 9 773700 24
100120070112094065 Тверская Область 9 773700 24
100120080111802284 Карелия Республика 9 703770 24
100120080512020243 Новгородская Область 9 773700 24
100120080111985450 Коми Республика 9 773700 24
100120080512000571 Архангельская Область 9 773700 24
100119860511746447 Архангельская Область 9 773700 24
100120080510219041 Архангельская Область 9 7737-0 24
100120080111199165 Нижегородская Область 9 773700 24
100120080111139890 Коми Республика 9 7737-0 24
100120070111129699 Тверская Область 9 773700 24
100120090111453302 Самарская Область 9 7-377- 24
100120080111235758 Нижегородская Область 9 773700 24
100120080111193746 Нижегородская Область 9 77370- 24
100120080110738241 Орловская Область 9 773700 24
100120080511938681 Новгородская Область 9 77370- 24
100120080111312363 Оренбургская Область 9 77370- 24
100120080111074883 Самарская Область 9 773700 24
100120080111074141 Смоленская Область 9 773700 24
100120080111348739 Нижегородская Область 9 7737-0 24
100120080111097235 Новгородская Область 9 77370- 24
100120080111466762 Самарская Область 9 06773- 23
100120080111057767 Коми Республика 9 743503 22
100120070111269113 Нижегородская Область 9 077700 21
100120080511709413 Новгородская Область 9 777000 21
100120080511719864 Липецкая Область 9 77-700 21
100120080111806135 Ленинградская Область 9 773300 20
100120080111792341 Нижегородская Область 9 767-00 20Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120080111746486 Белгородская Область 9 773-30 20
100120080111752600 Тверская Область 9 773030 20
100120080510052423 Ленинградская Область 9 760700 20
100120090111143291 Ленинградская Область 9 7-3703 20
100120080111246764 Самарская Область 9 063730 19
100120080511906736 Ленинградская Область 9 717030 18
100120080111687622 Архангельская Область 9 7137-0 18
100120080510160205 Тверская Область 9 073700 17
100120080511702759 Тверская Область 9 370700 17
100120080510045363 Ленинградская Область 9 703070 17
100120080512279468 Калининградская Область 9 773000 17
100120080510226708 Калининградская Область 9 773000 17
100120080510226520 Самарская Область 9 703070 17
100120080111146299 Белгородская Область 9 773000 17
100120080511823746 Псковская Область 9 073700 17
100120080111484478 Смоленская Область 9 773000 17
100120080510214510 Псковская Область 9 773-00 17
100120080111505124 Нижегородская Область 9 773000 17
100120080511706820 Нижегородская Область 9 7-3700 17
100120080512064502 Карелия Республика 9 750500 17
100120080111352816 Ленинградская Область 9 773-00 17
100120080111365648 Ленинградская Область 9 773-0- 17
100120080111168126 Нижегородская Область 9 7133-2 16
100120080511725572 Брянская Область 9 763-00 16
100120080111946742 Архангельская Область 9 703500 15
100120080510137541 Ленинградская Область 9 760200 15
100120080511690651 Орловская Область 9 053700 15
100120080510128199 Карелия Республика 9 7530-- 15
100120080510208667 Архангельская Область 9 770000 14
100120080510115606 Киргизия 9 707000 14
100120090111217831 Калининградская Область 9 770000 14
100120090111196233 Оренбургская Область 9 7007-0 14
100120080111150123 Ленинградская Область 9 770--- 14
100120080511776195 Самарская Область 9 373000 13
100120080111725817 Орловская Область 9 76000- 13
100120080511706008 Калининградская Область 9 003370 13
100120090111820176 Нижегородская Область 9 700050 12
100120070111151787 Тверская Область 9 057000 12
100120080512280129 Ленинградская Область 9 053300 11
100120080510082654 Калининградская Область 9 703000 10
100120080111420162 Псковская Область 9 703000 10
100120080111432217 Архангельская Область 9 003700 10Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
